id,Contractor (Y/N),Start date,Male or Female,Date of birth,Unionised,Role name,Role description,Total compensation,Redundancy cost,SOC-code,SOC-name,Site Name,Business Unit (top-level),Department,Street Address,City,State,Country,Post/Zip code,id,Contractor (Y/N)
5,false,,M,,,Construction Managers,Construction Managers,124559,0.2,11-9021.00,Construction Managers,Portland,Logistics,Logistics,79037,Portland,Oregon,United States,97211,45.498575,-122.64126
6,false,,F,,,Construction Managers,Construction Managers,124559,0.2,11-9021.00,Construction Managers,Cleveland,Logistics,Logistics,12782,Cleveland,Ohio,United States,44111,41.42509,-81.824284
7,false,,M,,,Construction Managers,Construction Managers,124559,0.2,11-9021.00,Construction Managers,Norfolk,Logistics,Logistics,82636,Norfolk,Virginia,United States,23504,36.848288,-76.264907
8,false,,F,,,Construction Managers,Construction Managers,124559,0.2,11-9021.00,Construction Managers,Saint Louis,Logistics,Logistics,3,Saint Louis,Missouri,United States,63150,38.569799,-90.307794
10,false,,M,,,Construction Managers,Construction Managers,118782,0.2,11-9021.00,Construction Managers,Honolulu,Manufacturing,Manufacturing,17944,Honolulu,Hawaii,United States,96820,21.336423,-157.921372
11,false,,F,,,Construction Managers,Construction Managers,118782,0.2,11-9021.00,Construction Managers,Washington,Manufacturing,Manufacturing,44551,Washington,District of Columbia,United States,20231,38.889939,-77.00905
12,false,,M,,,Construction Managers,Construction Managers,118782,0.2,11-9021.00,Construction Managers,Racine,Manufacturing,Manufacturing,4,Racine,Wisconsin,United States,53405,42.760931,-87.793698
13,false,,F,,,Construction Managers,Construction Managers,74550,0.2,11-9021.00,Construction Managers,Sacramento,Manufacturing,Manufacturing,9,Sacramento,California,United States,95828,38.440419,-121.505373
14,false,,M,,,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors of Production and Operating Workers,118782,0.2,51-1011.00,First-Line Supervisors of Production and Operating Workers,Whittier,Manufacturing,Manufacturing,3368,Whittier,California,United States,90605,33.952539,-118.04302
15,false,,F,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Delray Beach,Manufacturing,Manufacturing,8043,Delray Beach,Florida,United States,33448,26.45412,-80.0591
16,false,,M,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Lexington,Manufacturing,Manufacturing,109,Lexington,Kentucky,United States,40510,38.038384,-84.488912
17,false,,F,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Prescott,Manufacturing,Manufacturing,8087,Prescott,Arizona,United States,86305,34.592618,-112.323699
18,false,,M,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",El Paso,Manufacturing,Manufacturing,10,El Paso,Texas,United States,79923,31.780233,-106.394135
19,false,,F,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",South Lake Tahoe,Manufacturing,Manufacturing,47,South Lake Tahoe,California,United States,96154,38.956053,-119.940536
20,false,,M,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Augusta,Manufacturing,Manufacturing,57,Augusta,Georgia,United States,30919,33.486693,-81.971831
21,false,,F,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Washington,Manufacturing,Manufacturing,6,Washington,District of Columbia,United States,20067,38.903056,-77.050287
22,false,,M,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Green Bay,Manufacturing,Manufacturing,59,Green Bay,Wisconsin,United States,54313,44.824161,-87.384364
23,false,,F,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Honolulu,Manufacturing,Manufacturing,0,Honolulu,Hawaii,United States,96835,21.348839,-157.94356
24,false,,M,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Naples,Manufacturing,Manufacturing,91,Naples,Florida,United States,34102,26.254287,-81.809078
25,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,New York City,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",502,New York City,New York,United States,10203,40.742257,-73.914887
37,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,San Antonio,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",4,San Antonio,Texas,United States,78255,29.44366,-98.562351
38,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Missoula,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",936,Missoula,Montana,United States,59806,46.877613,-113.970807
39,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Atlanta,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",25,Atlanta,Georgia,United States,30375,33.801076,-84.394651
40,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Sacramento,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",27,Sacramento,California,United States,95818,38.556044,-121.478606
41,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Augusta,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",8,Augusta,Georgia,United States,30911,33.470467,-81.967818
42,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Los Angeles,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",1860,Los Angeles,California,United States,90101,34.277249,-119.139591
43,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,New Bedford,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",0,New Bedford,Massachusetts,United States,2745,41.716079,-70.870504
44,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Pasadena,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",4413,Pasadena,California,United States,91109,38.63855,-121.362153
45,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Wichita Falls,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",8761,Wichita Falls,Texas,United States,76305,33.945896,-98.534397
46,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Little Rock,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",8607,Little Rock,Arkansas,United States,72222,34.825464,-92.435948
47,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Des Moines,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",21,Des Moines,Iowa,United States,50305,41.554505,-93.579503
48,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Lincoln,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",89526,Lincoln,Nebraska,United States,68531,40.822973,-96.69718
49,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Grand Forks,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",7,Grand Forks,North Dakota,United States,58207,47.93,-97.03
50,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Memphis,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",931,Memphis,Tennessee,United States,38136,35.122097,-90.063136
51,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Pensacola,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",6994,Pensacola,Florida,United States,32595,30.494397,-87.262349
52,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Portsmouth,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",1,Portsmouth,New Hampshire,United States,214,43.076105,-70.756279
53,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Trenton,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",3,Trenton,New Jersey,United States,8603,40.218571,-74.734916
54,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Topeka,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",60,Topeka,Kansas,United States,66642,39.154053,-95.651394
55,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Buffalo,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",9,Buffalo,New York,United States,14269,40.560799,-74.134381
56,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Dallas,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",70,Dallas,Texas,United States,75379,29.18063,-95.410507
57,false,,F,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Gilbert,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",52721,Gilbert,Arizona,United States,85297,33.204896,-111.789159
58,false,,M,,,Customer Service Representatives,Customer Service Representatives,66875,0.2,43-4051.00,Customer Service Representatives,Kansas City,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",43735,Kansas City,Missouri,United States,64130,39.035253,-94.534154
