id,Contractor (Y/N),Start date,Male or Female,Date of birth,Unionised,Role name,Role description,Total compensation,Redundancy cost,SOC-code,SOC-name,Site Name,Business Unit (top-level),Department,Street Address,City,State,Country,Post/Zip code,id,Contractor (Y/N)
13143,false,,F,,,Machinists,Machinists,85492,0.2,51-4041.00,Machinists,Augusta,Logistics,Logistics,57,Augusta,Georgia,United States,30919,33.486693,-81.971831
10297,false,,F,,,Industrial Engineering Technicians,Industrial Engineering Technicians,102063,0.2,17-3026.00,Industrial Engineering Technicians,Port Washington,Manufacturing,Manufacturing,2571,Port Washington,New York,United States,11054,40.837361,-73.708036
14618,false,,F,,,Electrical Engineering Technicians,Electrical Engineering Technicians,119014,0.2,17-3023.03,Electrical Engineering Technicians,Saint Louis,Manufacturing,Manufacturing,8370,Saint Louis,Missouri,United States,63180,38.687965,-90.293454
12885,false,,F,,,Machinists,Machinists,85492,0.2,51-4041.00,Machinists,Pittsburgh,Manufacturing,Manufacturing,38,Pittsburgh,Pennsylvania,United States,15235,40.46655,-79.963907
14584,false,,M,,,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors of Production and Operating Workers,118782,0.2,51-1011.00,First-Line Supervisors of Production and Operating Workers,Aurora,Manufacturing,Manufacturing,4736,Aurora,Colorado,United States,80044,39.60635,-104.7031
13063,false,,M,,,Industrial Production Managers,Industrial Production Managers,198054,0.2,11-3051.00,Industrial Production Managers,Hampton,Logistics,Logistics,5977,Hampton,Virginia,United States,23663,36.895825,-76.303231
764,false,,M,,,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",124559,0.2,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Indianapolis,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",52936,Indianapolis,Indiana,United States,46202,39.790091,-86.159067
10318,false,,M,,,Electricians,Electricians,109379,0.2,47-2111.00,Electricians,Evansville,Manufacturing,Manufacturing,8,Evansville,Indiana,United States,47712,37.979934,-87.590544
11440,false,,M,,,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters,78113,0.2,51-2041.00,Structural Metal Fabricators and Fitters,Chicago,Logistics,Logistics,445,Chicago,Illinois,United States,60663,41.801993,-87.997097
489,false,,F,,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",74550,0.2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Tacoma,Manufacturing,Manufacturing,0,Tacoma,Washington,United States,98424,47.242604,-122.390689
10306,false,,M,,,Electricians,Electricians,109379,0.2,47-2111.00,Electricians,Stamford,Manufacturing,Manufacturing,7112,Stamford,Connecticut,United States,6912,41.057061,-73.540606
10919,false,,F,,,"Laborers and Freight, Stock, and Material Movers, Hand","Laborers and Freight, Stock, and Material Movers, Hand",73770,0.2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",New Bedford,Building Components,Building Components,44,New Bedford,Massachusetts,United States,2745,41.717196,-70.866831
10135,false,,F,,,Financial Analysts,Financial Analysts,167294,0.2,13-2051.00,Financial Analysts,Racine,"Sales, Marketing, Innovation & Trading","Sales, Marketing, Innovation & Trading",4,Racine,Wisconsin,United States,53405,42.760931,-87.793698
11828,false,,F,,,Machinists,Machinists,85492,0.2,51-4041.00,Machinists,El Paso,Building Components,Building Components,1238,El Paso,Texas,United States,79999,31.76553,-106.495718
13771,false,,M,,,Electrical Engineering Technicians,Electrical Engineering Technicians,200774,0.2,17-3023.03,Electrical Engineering Technicians,El Paso,Manufacturing,Manufacturing,204,El Paso,Texas,United States,88514,30.235128,-97.758936
13922,false,,F,,,First-Line Supervisors of Production and Operating Workers,First-Line Supervisors of Production and Operating Workers,118782,0.2,51-1011.00,First-Line Supervisors of Production and Operating Workers,Springfield,Manufacturing,Manufacturing,2,Springfield,Massachusetts,United States,1129,42.605186,-72.672261
13019,false,,F,,,Chemists,Chemists,153084,0.2,19-2031.00,Chemists,Detroit,Building Components,Building Components,58,Detroit,Michigan,United States,48275,42.331966,-83.048197
14466,false,,F,,,Computer and Information Systems Managers,Computer and Information Systems Managers,108514,0.2,11-3021.00,Computer and Information Systems Managers,Chicago,Commercial,Commercial,53579,Chicago,Illinois,United States,60646,41.878808,-87.628975
10684,false,,M,,,Structural Metal Fabricators and Fitters,Structural Metal Fabricators and Fitters,83257,0.2,51-2041.00,Structural Metal Fabricators and Fitters,Lawrenceville,Manufacturing,Manufacturing,13876,Lawrenceville,Georgia,United States,30045,33.960515,-83.995762
13719,false,,F,,,Mechanical Engineers,Mechanical Engineers,176233,0.2,17-2141.00,Mechanical Engineers,San Francisco,Manufacturing,Manufacturing,737,San Francisco,California,United States,94154,37.792227,-122.406466
